,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bathsheba,20,BB,1569371936,83,13.22,-59.52,82.4,13.87
1,Ribeira Grande,0,PT,1569372124,66,38.52,-28.7,70.51,10.65
2,Portobelo,40,PA,1569372125,94,9.55,-79.65,81.0,2.24
3,Rikitea,76,PF,1569371896,65,-23.12,-134.97,71.05,4.41
4,Mataura,100,NZ,1569372128,78,-46.19,168.86,42.01,7.0
5,Mar del Plata,3,AR,1569372129,37,-46.43,-67.52,62.59,9.69
6,Yellowknife,75,CA,1569372130,65,62.45,-114.38,44.6,10.29
7,Hermanus,0,ZA,1569372132,81,-34.42,19.24,57.0,5.99
8,Lebu,89,ET,1569372133,89,8.96,38.73,55.92,1.21
9,Narsaq,75,GL,1569372055,52,60.91,-46.05,44.6,5.82
10,Kidal,0,ML,1569372136,12,18.44,1.41,90.49,10.47
11,Port Alfred,61,ZA,1569372016,72,-33.59,26.89,55.0,1.99
12,San Patricio,0,PY,1569372138,77,-26.98,-56.83,67.27,6.06
13,Cayenne,20,GF,1569372004,88,4.94,-52.33,78.8,5.57
14,Punta Arenas,40,CL,1569372141,75,-53.16,-70.91,44.6,10.29
15,Ushuaia,75,AR,1569371973,70,-54.81,-68.31,44.6,4.7
16,Bonavista,85,CA,1569372143,86,48.65,-53.11,45.0,8.99
17,Valdivia,0,CL,1569372145,67,-39.81,-73.25,60.8,5.82
18,Komsomolskiy,100,RU,1569372146,96,67.55,63.78,33.61,15.84
19,Iqaluit,75,CA,1569372015,83,63.75,-68.52,37.4,3.36
20,Coquimbo,20,CL,1569372149,81,-29.95,-71.34,51.8,8.05
21,Vaini,75,IN,1569372044,94,15.34,74.49,71.6,2.24
22,Chokurdakh,0,RU,1569372042,62,70.62,147.9,30.19,6.93
23,Luang Prabang,20,LA,1569372153,94,19.89,102.14,68.0,2.57
24,Qaanaaq,96,GL,1569372154,87,77.48,-69.36,20.65,5.75
25,Airai,41,TL,1569372155,46,-8.93,125.41,82.75,3.02
26,Codrington,60,AU,1569372157,64,-28.95,153.24,72.0,2.24
27,Kimbe,40,PG,1569372158,61,-5.56,150.15,87.61,2.62
28,Ca Mau,99,VN,1569372159,86,9.18,105.15,79.51,6.15
29,Carnarvon,0,ZA,1569372161,83,-30.97,22.13,44.22,19.46
30,Westport,40,US,1569372124,56,41.14,-73.36,70.0,4.7
31,Udachnyy,75,RU,1569372163,88,66.42,112.4,35.6,8.95
32,Moba,36,CD,1569372164,50,-7.04,29.77,67.09,3.89
33,Bluff,45,AU,1569372007,53,-23.58,149.07,75.01,12.3
34,Hilo,75,US,1569372167,55,19.71,-155.08,86.0,11.41
35,Cape Town,0,ZA,1569372168,76,-33.93,18.42,61.0,9.17
36,Provideniya,75,RU,1569372170,91,64.42,-173.23,39.2,13.42
37,Sumbe,100,AO,1569372171,91,-11.2,13.84,71.77,4.25
38,Khatanga,54,RU,1569372172,78,71.98,102.47,33.79,10.51
39,Zuwarah,91,LY,1569372174,81,32.93,12.08,76.62,8.66
40,Hithadhoo,100,MV,1569372175,73,-0.6,73.08,81.31,9.73
41,Lekoni,98,GA,1569372176,86,-1.58,14.26,74.47,6.58
42,Hambantota,100,LK,1569372178,82,6.12,81.12,80.05,13.89
43,Santa Rosa,0,AR,1569372145,50,-36.62,-64.29,60.25,2.46
44,Jinxiang,97,CN,1569372180,24,35.07,116.31,81.0,2.98
45,Hobart,75,AU,1569372182,50,-42.88,147.33,55.99,8.05
46,Semey,0,KZ,1569372183,86,50.41,80.25,41.0,4.47
47,Saint George,40,GR,1569371894,100,39.45,22.34,60.8,4.07
48,Novosheshminsk,94,RU,1569372185,91,55.06,51.22,36.67,8.66
49,Fortuna,1,US,1569372187,82,40.6,-124.16,80.01,13.87
50,Bandar-e Lengeh,31,IR,1569372188,75,26.56,54.88,89.6,11.41
51,Bredasdorp,20,ZA,1569372189,67,-34.53,20.04,57.2,13.87
52,Puerto Escondido,75,MX,1569372191,70,15.86,-97.07,84.2,3.36
53,Bambous Virieux,75,MU,1569372192,88,-20.34,57.76,71.6,12.75
54,Bandarbeyla,67,SO,1569372066,67,9.49,50.81,75.72,15.01
